record_id,cluster_id
r0000,e0000
r0001,e0001
r0002,e0002
r0003,e0003
r0004,e0004
r0005,e0005
r0006,e0006
r0007,e0007
r0008,e0008
r0009,e0009
r0010,e0010
r0011,e0011
r0012,e0012
r0013,e0013
r0014,e0014
r0015,e0015
r0016,e0016
r0017,e0017
r0018,e0018
r0019,e0019
r0020,e0020
r0021,e0021
r0022,e0022
r0023,e0023
r0024,e0024
r0025,e0025
r0026,e0026
r0027,e0027
r0028,e0028
r0029,e0029
r0030,e0030
r0031,e0030
r0032,e0031
r0033,e0032
r0034,e0033
r0035,e0034
r0036,e0035
r0037,e0036
r0038,e0037
r0039,e0038
r0040,e0039
r0041,e0040
r0042,e0017
r0043,e0041
r0044,e0042
r0045,e0043
r0046,e0034
r0047,e0044
r0048,e0045
r0049,e0046
r0050,e0047
r0051,e0048
r0052,e0049
r0053,e0050
r0054,e0051
r0055,e0052
r0056,e0053
r0057,e0054
r0058,e0055
r0059,e0027
r0060,e0056
r0061,e0057
r0062,e0058
r0063,e0059
r0064,e0060
r0065,e0061
r0066,e0062
r0067,e0063
r0068,e0064
r0069,e0065
r0070,e0066
r0071,e0067
r0072,e0068
r0073,e0069
r0074,e0070
r0075,e0071
r0076,e0072
r0077,e0073
r0078,e0074
r0079,e0075
r0080,e0076
r0081,e0077
r0082,e0078
r0083,e0079
r0084,e0080
r0085,e0081
r0086,e0082
r0087,e0083
r0088,e0084
r0089,e0085
r0090,e0086
r0091,e0087
r0092,e0088
r0093,e0089
r0094,e0090
r0095,e0091
r0096,e0092
r0097,e0093
r0098,e0094
r0099,e0095
r0100,e0096
r0101,e0097
r0102,e0098
r0103,e0099
r0104,e0100
r0105,e0101
r0106,e0102
r0107,e0024
r0108,e0103
r0109,e0104
r0110,e0105
r0111,e0106
r0112,e0107
r0113,e0108
r0114,e0109
r0115,e0097
r0116,e0110
r0117,e0111
r0118,e0112
r0119,e0113
r0120,e0114
r0121,e0115
r0122,e0116
r0123,e0117
r0124,e0118
r0125,e0119
r0126,e0120
r0127,e0121
r0128,e0122
r0129,e0123
r0130,e0124
r0131,e0125
r0132,e0126
r0133,e0127
r0134,e0128
r0135,e0129
r0136,e0130
r0137,e0131
r0138,e0046
r0139,e0132
r0140,e0133
r0141,e0134
r0142,e0071
r0143,e0135
r0144,e0136
r0145,e0137
r0146,e0138
r0147,e0139
r0148,e0140
r0149,e0141
r0150,e0142
r0151,e0143
r0152,e0144
r0153,e0145
r0154,e0146
r0155,e0145
r0156,e0147
r0157,e0148
r0158,e0149
r0159,e0150
r0160,e0151
r0161,e0152
r0162,e0153
r0163,e0154
r0164,e0155
r0165,e0156
r0166,e0157
r0167,e0158
r0168,e0159
r0169,e0160
r0170,e0161
r0171,e0162
r0172,e0163
r0173,e0164
r0174,e0165
r0175,e0166
r0176,e0167
r0177,e0168
r0178,e0169
r0179,e0170
r0180,e0171
r0181,e0172
r0182,e0173
r0183,e0174
r0184,e0175
r0185,e0176
r0186,e0177
r0187,e0178
r0188,e0179
r0189,e0180
r0190,e0181
r0191,e0182
r0192,e0183
r0193,e0184
r0194,e0185
r0195,e0124
r0196,e0186
r0197,e0187
r0198,e0188
r0199,e0189
r0200,e0190
r0201,e0191
r0202,e0192
r0203,e0193
r0204,e0194
r0205,e0195
r0206,e0196
r0207,e0197
r0208,e0198
r0209,e0181
r0210,e0145
r0211,e0199
r0212,e0200
r0213,e0201
r0214,e0202
r0215,e0203
r0216,e0204
r0217,e0205
r0218,e0206
r0219,e0207
r0220,e0208
r0221,e0209
r0222,e0210
r0223,e0211
r0224,e0212
r0225,e0179
r0226,e0046
r0227,e0213
r0228,e0214
r0229,e0215
r0230,e0216
r0231,e0217
r0232,e0218
r0233,e0219
r0234,e0220
r0235,e0221
r0236,e0171
r0237,e0222
r0238,e0223
r0239,e0224
r0240,e0225
r0241,e0226
r0242,e0227
r0243,e0228
r0244,e0229
r0245,e0230
r0246,e0231
r0247,e0172
r0248,e0232
r0249,e0233
r0250,e0234
r0251,e0235
r0252,e0236
r0253,e0237
r0254,e0238
r0255,e0239
r0256,e0240
r0257,e0241
r0258,e0242
r0259,e0243
r0260,e0244
r0261,e0245
r0262,e0246
r0263,e0184
r0264,e0247
r0265,e0248
r0266,e0249
r0267,e0250
r0268,e0251
r0269,e0252
r0270,e0253
r0271,e0254
r0272,e0255
r0273,e0256
r0274,e0020
r0275,e0257
r0276,e0258
r0277,e0259
r0278,e0260
r0279,e0261
r0280,e0262
r0281,e0263
r0282,e0264
r0283,e0265
r0284,e0266
r0285,e0267
r0286,e0268
r0287,e0269
r0288,e0270
r0289,e0271
r0290,e0272
r0291,e0273
r0292,e0274
r0293,e0275
r0294,e0276
r0295,e0277
r0296,e0278
r0297,e0279
r0298,e0280
r0299,e0281
r0300,e0282
r0301,e0283
r0302,e0284
r0303,e0285
r0304,e0286
r0305,e0287
r0306,e0288
r0307,e0289
r0308,e0290
r0309,e0291
r0310,e0292
r0311,e0293
r0312,e0294
r0313,e0295
r0314,e0296
r0315,e0297
r0316,e0298
r0317,e0130
r0318,e0232
r0319,e0299
r0320,e0300
r0321,e0301
r0322,e0302
r0323,e0303
r0324,e0304
r0325,e0305
r0326,e0306
r0327,e0307
r0328,e0308
r0329,e0309
r0330,e0310
r0331,e0311
r0332,e0312
r0333,e0313
r0334,e0314
r0335,e0315
r0336,e0316
r0337,e0317
r0338,e0318
r0339,e0319
r0340,e0187
r0341,e0320
r0342,e0321
r0343,e0322
r0344,e0323
r0345,e0324
r0346,e0325
r0347,e0326
r0348,e0327
r0349,e0328
r0350,e0329
r0351,e0098
r0352,e0330
r0353,e0331
r0354,e0332
r0355,e0333
r0356,e0334
r0357,e0335
r0358,e0336
r0359,e0337
r0360,e0338
r0361,e0267
r0362,e0339
r0363,e0215
r0364,e0340
r0365,e0341
r0366,e0342
r0367,e0343
r0368,e0344
r0369,e0345
r0370,e0346
r0371,e0347
r0372,e0348
r0373,e0349
r0374,e0350
r0375,e0194
r0376,e0351
r0377,e0352
r0378,e0353
r0379,e0354
r0380,e0355
r0381,e0356
r0382,e0357
r0383,e0358
r0384,e0268
r0385,e0359
r0386,e0360
r0387,e0361
r0388,e0362
r0389,e0363
r0390,e0364
r0391,e0205
r0392,e0365
r0393,e0366
r0394,e0367
r0395,e0110
r0396,e0368
r0397,e0369
r0398,e0370
r0399,e0371
r0400,e0372
r0401,e0373
r0402,e0374
r0403,e0375
r0404,e0376
r0405,e0377
r0406,e0378
r0407,e0379
r0408,e0357
r0409,e0380
r0410,e0381
r0411,e0382
r0412,e0383
r0413,e0384
r0414,e0385
r0415,e0386
r0416,e0387
r0417,e0290
r0418,e0083
r0419,e0388
r0420,e0389
r0421,e0390
r0422,e0292
r0423,e0391
r0424,e0392
r0425,e0393
r0426,e0394
r0427,e0395
r0428,e0396
r0429,e0397
